node_id,degree_centrality,betweenness_centrality,node_name,node_type
GO:0005515,0.1258039172696046,0.10740196665220204,protein binding,MolecularFunction
GO:0005737,0.06138091061901629,0.05213380756439011,cytoplasm,CellularComponent
GO:0005634,0.060101951326463496,0.018537282966090442,nucleus,CellularComponent
GO:0016020,0.051176642549148575,0.0438996561322572,membrane,CellularComponent
GO:0005886,0.050299641891398086,0.019120360353489158,plasma membrane,CellularComponent
GO:0005829,0.04691953518965139,0.02750257859601566,cytosol,CellularComponent
GO:0046872,0.037089819484031276,0.012807064708317285,metal ion binding,MolecularFunction
GO:0005654,0.033353431265073445,0.013131077809805637,nucleoplasm,CellularComponent
GO:0005576,0.022637579478184608,0.021435698837074687,extracellular region,CellularComponent
GO:0003677,0.021185047138785353,0.001863937701206255,DNA binding,MolecularFunction
GO:0070062,0.020234963092888986,0.0053527594538930745,extracellular exosome,CellularComponent
GO:0007165,0.020061390046042533,0.0027296631886055463,signal transduction,BiologicalProcess
GO:0008270,0.0197325147993861,0.002093161590744838,zinc ion binding,MolecularFunction
GO:0016740,0.01748520061390046,0.0035847499003418774,transferase activity,MolecularFunction
GO:0016787,0.01695534604984287,0.002670912966205891,hydrolase activity,MolecularFunction
GO:0000166,0.016882262661696994,0.0021608403149955186,nucleotide binding,MolecularFunction
GO:0005615,0.01676350215595995,0.009529560249623158,extracellular space,Anatomy
GO:0042802,0.016197105897829422,0.004168321712353942,identical protein binding,MolecularFunction
GO:0005739,0.014863334064167214,0.00406706744605243,mitochondrion,CellularComponent
GO:0003723,0.014571000511583717,0.001419299122672221,RNA binding,MolecularFunction
GO:0006357,0.014022875100489659,0.0008048051258691367,regulation of transcription by RNA polymerase II,BiologicalProcess
GO:0005524,0.013575239348096178,0.001614860758453958,ATP binding,MolecularFunction
GO:0006355,0.013456478842359131,0.0008579874592492037,regulation of DNA-templated transcription,BiologicalProcess
GO:0005730,0.012259738361470438,0.0029587587992281313,nucleolus,CellularComponent
GO:0000981,0.011327925162610539,0.0004533738450608044,"DNA-binding transcription factor activity, RNA polymerase II-specific",MolecularFunction
GO:0005789,0.01124570635094643,0.0012828871358760215,endoplasmic reticulum membrane,CellularComponent
GO:0005783,0.01111781042169115,0.001519286297609635,endoplasmic reticulum,CellularComponent
GO:0000785,0.010752393480961778,0.003528932120042641,chromatin,CellularComponent
GO:0000978,0.01037784111671417,0.00033205721972968293,RNA polymerase II cis-regulatory region sequence-specific DNA binding,MolecularFunction
GO:0005794,0.010323028575604765,0.0010533663158138512,Golgi apparatus,CellularComponent
GO:0045944,0.010259080610977125,0.0013534389172137392,positive regulation of transcription by RNA polymerase II,BiologicalProcess
GO:0030154,0.01024994518745889,0.002711541465675712,cell differentiation,BiologicalProcess
GO:0007186,0.009820580282101879,0.00024948240334115776,G protein-coupled receptor signaling pathway,BiologicalProcess
GO:0032991,0.00961046554118249,0.011151800158886357,protein-containing complex,CellularComponent
GO:0002376,0.008989256741942557,0.0011102483745756152,immune system process,BiologicalProcess
GO:0000122,0.008715194036395528,0.0004377082608251968,negative regulation of transcription by RNA polymerase II,BiologicalProcess
GO:0031410,0.008669516918804356,0.0013701883185559757,cytoplasmic vesicle,CellularComponent
GO:0004930,0.008157933201783235,0.00022861318439121555,G protein-coupled receptor activity,MolecularFunction
GO:0005856,0.007765109990499159,0.00043719185207217104,cytoskeleton,CellularComponent
GO:0006629,0.00755499524957977,0.0007869588059651871,lipid metabolic process,BiologicalProcess
GO:0045893,0.006970328144412775,0.0006165956275650117,positive regulation of DNA-templated transcription,BiologicalProcess
GO:0045202,0.006961192720894541,0.00038792194857245664,synapse,CellularComponent
GO:0016301,0.006915515603303369,0.0010662744298640537,kinase activity,MolecularFunction
GO:0003700,0.0067602134034933856,0.00020053679847882786,DNA-binding transcription factor activity,MolecularFunction
GO:0042803,0.006696265438865746,0.0007510471361787285,protein homodimerization activity,MolecularFunction
GO:0000139,0.0066505883212745745,0.00039628381845832633,Golgi membrane,CellularComponent
GO:0048471,0.00664145289775634,0.002150664397991181,perinuclear region of cytoplasm,CellularComponent
GO:0005509,0.0065409632390557625,0.0006786232693318747,calcium ion binding,MolecularFunction
GO:0009986,0.006385661039245779,0.00355983856779447,cell surface,CellularComponent
GO:0006915,0.006367390192209311,0.0003244368843025099,apoptotic process,BiologicalProcess
